id,address,number,postal_code,municipality,province,unique_address,points_coordinates,lat,lng
12027.0,burgemeester e. ryckaertsplein,1,2600,berchem,antwerpen,"burgemeester e. ryckaertsplein,1,2600,berchem,antwerpen","(4.432714300000001, 51.2002356)",51.2002356,4.432714300000001
12031.0,zuiderlaan,42,8790,waregem,west-vlaanderen,"zuiderlaan,42,8790,waregem,west-vlaanderen","(3.432744, 50.8808868)",50.8808868,3.432744
12034.0,chaussée de bruxelles,374,7500,tournai,hainaut,"chaussée de bruxelles,374,7500,tournai,hainaut","(3.4235244, 50.6032176)",50.6032176,3.4235244
12035.0,ruiterijschool,3,2930,brasschaat,antwerpen,"ruiterijschool,3,2930,brasschaat,antwerpen","(4.527337, 51.32886999999999)",51.32886999999999,4.527337
12037.0,sint corneliusstraat,8,2440,geel,antwerpen,"sint corneliusstraat,8,2440,geel,antwerpen","(4.9444231, 51.1659869)",51.1659869,4.9444231
12038.0,kouterbaan,20,9470,denderleeuw,oost-vlaanderen,"kouterbaan,20,9470,denderleeuw,oost-vlaanderen","(4.0715986, 50.8876845)",50.8876845,4.0715986
12044.0,rue royale,72,1000,bruxelles,bruxelles-brussel,"rue royale,72,1000,bruxelles,bruxelles-brussel","(4.3620462, 50.8466256)",50.8466256,4.3620462
12045.0,rue de la loi,6,1000,bruxelles,bruxelles-brussel,"rue de la loi,6,1000,bruxelles,bruxelles-brussel","(4.3636633, 50.846818)",50.846818,4.3636633
12046.0,dagsterrestraat,2,9170,sint-gillis-waas,oost-vlaanderen,"dagsterrestraat,2,9170,sint-gillis-waas,oost-vlaanderen","(4.1474498, 51.2058343)",51.2058343,4.1474498
12049.0,industriestrasse,36,4700,eupen,liège,"industriestrasse,36,4700,eupen,liège","(6.009385099999999, 50.63621819999999)",50.63621819999999,6.009385099999999
12052.0,bvd général wahis,1,1030,bruxelles,bruxelles-brussel,"bvd général wahis,1,1030,bruxelles,bruxelles-brussel","(4.3940386, 50.8595868)",50.8595868,4.3940386
